file_path,description_length,description_text
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/specialized-guides-overview.adoc,128,"A starting point for accessing guides and information on deploying in public clouds, using Salt, and managing large deployments."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/uyuni-specialized-guides-overview.adoc,152,"An overview of specialized topics and functionalities within MLM, helping users with basic to advanced tasks and customizing their approach for optimal."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-formula-saltboot.adoc,138,"Configure Saltboot formula for hardware type groups and define disk partitions, ensuring proper configuration for a successful deployment."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-yomi.adoc,125,"To install a Client operating system using Yomi with MLM, follow these steps Install the yomi-formula package on your Server."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-formula-saline.adoc,144,Configure Saline monitoring by setting up formulas for Saline Prometheus and Saline Grafana using predefined forms in your Server configuration.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-monitoring.adoc,143,Use Saline to enhance monitoring and visualization capabilities for Salt events with detailed statistics on internal calls and minion activity.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-connectivity.adoc,139,"Understand and resolve connectivity issues between your Server, Proxy, or Client with configuration adjustments to prevent connection loss."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-config-modules.adoc,143,"Learn how to configure Organizations, Users, User permissions, System groups, and Activation Keys for your devices using configuration modules."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-useful-commands.adoc,132,"A starting point for accessing frequently used Salt commands, allowing users to manage clients and retrieve information efficiently."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-gpg-encrypted-pillars.adoc,155,"To securely encrypt Pillar secrets with GPG, follow the procedures outlined to generate keys, configure Salt Master, and use encrypted data in pillar YAML."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-formulas-custom.adoc,136,"Learn how to write custom Salt formulas with forms, including creating a metadata directory and defining form data in the form.yml file."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-ssh.adoc,129,"Learn how to configure Salt SSH connections for secure communication between MLM, Server, and Client operating systems such as, ."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-scaling-minions.adoc,147,Scaling your Minion infrastructure to handle installations with over 1000 clients per Server requires careful hardware sizing and parameter tuning.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-gitfs.adoc,117,Configure the gitfs fileserver backend to serve files from one or more git repositories in Salt master configuration.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-command.adoc,132,"Learn how to construct Salt commands with target, function, and arguments to execute tasks on clients or groups of clients securely."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-formula-liberate.adoc,158,"To successfully migrate EL clients to Liberty Linux using the Liberate formula, configure MLM with required credentials and channels, then assign the formula."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-formula-monitoring.adoc,154,"Configure Grafana and Prometheus formulas to enable monitoring of Server and clients, as well as PostgreSQL, Apache HTTPD, Kubernetes clusters, and other."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-rate-limiting.adoc,152,"Learn how to control system load and parallelism by adjusting rate-limiting parameters in your MLM environment, including batch size and delay settings."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-formula-yomi.adoc,111,Configure Yomi formulas on your Server for provisioning Client systems with custom settings and configurations.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-terminology.adoc,159,"Understand Salt terminology to effectively use its event system, peer communication, formulas, grains, highstate, key fingerprints, master-minion relationship."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-formula-branchnetwork.adoc,148,"Configure the networking services required by your Branch Server, including DHCP, DNS, TFTP, PXE, and FTP, for Proxy 4.3 to connect with Server 5.1."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-states-and-pillars.adoc,129,Learn how to create custom Salt states with MLM and apply bulk actions using group states to manage your systems' configurations.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-formula-imagesync.adoc,125,Configure Image Synchronization to automate OS image updates on your Server with specified images synchronized automatically.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-formulas-by-product.adoc,141,"Learn how to install and activate formulas provided by MLM, including using Zypper commands on the Server and configuring them in the Web UI."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-formula-dhcpd.adoc,117,Configure DHCP settings on the branch Server to provide network connectivity for clients on the local branch network.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-formula-pxe.adoc,155,"Configure PXE booting on the branch Server by setting specific parameters in the MLM Web UI, ensuring a successful connection between the Proxy and Server."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-file-locations.adoc,139,"Learn how to configure Salt for Server, including managing file and pillar roots, and customizing Salt state data in specified directories."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-timeouts.adoc,139,Configure Salt timeouts for optimal performance and accuracy in detecting unresponsive clients during presence pings and command execution.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-custom-states.adoc,110,You can create your own custom Salt states with MLM as centrally managed configuration channels on the Server.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-formula-virtualization-host.adoc,114,Configure virtualization host settings for KVM or Xen hypervisors on Server using the Virtualization Host formula.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-overview.adoc,112,This book provides an introduction to using Salt for configuration management and orchestration with the Server.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-formula-bind.adoc,127,Configure Bind with two zones to resolve Saltboot hostnames and IP addresses on your branch Server for correct name resolution.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/salt/salt-formulas-intro.adoc,115,Learn how to use Salt Formulas for reliable reproduction of specific configurations in large infrastructure setups.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/qs-sap/prepare-server.adoc,114,"Configure your Server by deploying, configuring, and synchronizing software channels for clients using the Web UI."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/qs-sap/configure.adoc,126,Configure SAP clients on Server by installing formulas using a package manager and completing setup details in the MLM Web UI.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/qs-sap/prepare-clients.adoc,124,Prepare your clients on physical or virtual hardware with SLES 15 for SAP installation media ready to create an SAP cluster.
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/qs-sap/overview.adoc,148,"This guide helps you set up an SAP cluster by configuring an Server, preparing Client systems, and using formulas to configure the cluster securely."
/home/linux/work/uyuni-docs/modules/specialized-guides/pages/public-cloud-guide/payg-support.adoc,133,"Provides comprehensive support for BYOS and PAYG plans in various public clouds, ensuring seamless operation and minimizing downtime."
